线路号: 1107
1152	1228
1154	733
1154	2125
1155	1224
1155	708
1156	2454
1156	622
1157	734
1158	1524
1158	2128
1159	1511
1159	1296
1160	2382
1160	752
1161	2446
1161	2120
1162	1385
1162	2388
1163	2502
1163	632
1164	698
1164	604
1165	617
1165	2261
1167	636
1169	2388
1169	2258
1171	652
1172	2387
1173	747
1173	661
1174	567
1174	735
1175	1832
1176	716
1177	717
1179	1387
1180	2169
1180	2447
1181	639
1181	671
1182	664
1183	1392
1184	1839
1184	694
1185	1522
1186	2528
1187	727
1188	2457
1189	2506
1190	620
1191	2509
1192	2122
1193	592
1194	719
1194	2175
1195	2541
1195	699
9062	2447
